,AGR,AT,AUX,CC,CD,CDT,COM,DT,H,HAM,IN,JJ,JJT,MOD,NN,NNP,NNT,POS,PRP,QW,RB,RBR,REL,VB,WDT,yyCLN,yyCM,yyDASH,yyDOT,yyELPS,yyEXCL,yyLRB,yyQM,yyQUOT,yyRRB,yySCLN
AGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUX,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD,0,0,0,0,114,7,0,0,0,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDT,0,0,0,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COM,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0
DT,0,0,0,0,0,0,0,71,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
H,0,0,0,0,0,0,0,0,1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAM,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,0,0,0,3,0,0,1,0,0,0,1456,8,0,1,2,2,1,2,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
JJ,0,0,0,0,1,1,0,0,0,0,0,437,1,0,31,144,12,0,10,0,1,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
JJT,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD,0,0,0,1,0,0,0,2,0,0,6,4,0,112,2,1,0,0,4,0,43,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
NN,0,0,1,0,0,1,0,14,0,0,5,45,1,3,1521,347,113,0,0,0,5,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
NNP,0,0,0,0,0,1,0,0,1,0,5,4,0,0,19,504,3,0,4,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
NNT,0,0,0,0,0,0,0,0,0,0,1,6,0,0,198,94,356,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
POS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RB,0,0,0,0,0,0,0,1,0,0,10,3,0,27,2,13,6,0,13,0,254,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
