,AGR,AT,AUX,CC,CD,CDT,COM,DT,H,HAM,IN,JJ,JJT,MOD,NN,NNP,NNT,POS,PRP,QW,RB,RBR,REL,VB,WDT,yyCLN,yyCM,yyDASH,yyDOT,yyELPS,yyEXCL,yyLRB,yyQM,yyQUOT,yyRRB,yySCLN
AGR,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUX,0,0,67,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CC,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD,0,0,0,0,110,7,0,0,0,0,0,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDT,0,0,0,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COM,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
DT,0,0,0,0,0,0,0,67,0,0,1,0,0,3,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
H,0,0,0,0,0,0,0,0,1127,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HAM,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,0,0,0,2,0,0,1,1,0,0,1462,3,0,0,4,2,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
JJ,0,0,0,0,1,0,0,0,1,0,11,461,0,0,170,1,2,0,0,0,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
JJT,0,0,0,0,0,0,0,0,0,0,2,1,6,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
MOD,1,0,0,1,0,0,0,0,0,0,9,3,0,103,2,7,0,0,4,0,45,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
NN,0,0,0,0,0,0,0,12,1,0,39,37,0,3,1871,3,95,0,0,0,3,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
NNP,0,0,0,0,0,1,0,0,1,0,15,2,0,0,249,269,3,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
NNT,0,0,0,0,0,0,0,0,1,0,7,2,1,0,217,1,425,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
POS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP,6,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,347,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RB,0,0,0,0,0,0,0,0,0,0,9,5,0,34,18,3,7,0,7,0,249,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REL,0,0,0,0,0,0,6,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0
VB,0,0,20,0,0,0,0,0,1,0,4,9,0,1,266,3,2,0,0,0,3,1,0,758,0,0,0,0,0,0,0,0,0,0,0,0
WDT,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
yyCLN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
yyCM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532,0,0,0,0,0,0,0,0,0
yyDASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0
yyDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,0,0,0,0,0,0,0
yyELPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
yyEXCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
yyLRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
yyQM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
yyQUOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0
yyRRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
yySCLN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
