,AGR,AT,AUX,CC,CD,CDT,COM,DT,H,HAM,IN,JJ,JJT,MOD,NN,NNP,NNT,POS,PRP,QW,RB,RBR,REL,VB,WDT,yyCLN,yyCM,yyDASH,yyDOT,yyELPS,yyEXCL,yyLRB,yyQM,yyQUOT,yyRRB,yySCLN
AGR,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUX,0,0,67,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CC,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD,0,0,0,0,112,7,0,0,0,0,0,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDT,0,0,0,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COM,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0
DT,0,0,0,0,0,0,0,67,0,0,1,0,0,3,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
H,0,0,0,0,0,0,0,0,1127,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HAM,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,0,0,0,2,0,0,1,1,0,0,1460,3,0,0,4,4,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
